Sample	Yield_Average
!16IICT05001	12.6916
!16IICT05005	13.7498
!16IICT14001	14.5116
!16IICT14023	13.468
!16IICT14033	10.9548
!16IICT14037	13.0868
!16IICT14045	14.694
!16IICT17003	14.898
!16IICT17006	14.1656
!16IICT17010	14.7406
!16IICT17014	15.077
!16IICT17015	9.8354
!16IICT17016	15.1994
!16IICT17022	14.1824
!16IICT17024	8.617
!16IICT17030	14.3874
!16IICT17031	15.294
!16IICT17040	14.1818
!16IICT17041	10.975
!16IICT18015	13.7184
!16IICT18016	13.2122
!16IICT18019	14.0378
!16IICT18036	14.0434
!16IICT18038	13.586
!16IICT18047	12.913
!16IICT18057	12.8874
!16IICT18068	13.985
!16IICT18087	14.3804
!16IICT28002	12.631
!16IICT28003	13.378
!16IICT28005	13.4974
!16IICT28006	12.7248
!16IICT28008	13.005
!16IICT28010	13.7284
!16IICT28011	12.673
!16IICT28013	13.5312
!16IICT28015	13.3148
!16IICT28020	13.689
!16IICT28022	12.3116
!16IICT28023	13.6344
!16IICT28024	13.026
!16IICT28026	12.7388
!16IICT28028	12.0936
!16IICT28034	13.2464
!16IICT28035	12.8254
!16IICT28042	14.3992
!16IICT28044	12.519
!16IICT28049	13.0998
!16IICT28050	13.4752
!16IICT28051	13.2428
!16IICT28055	11.5808
!16IICT28057	13.6258
!16IICT28058	13.1286
!16IICT28061	13.671
!16IICT28064	13.5474
!16IICT28066	11.38
!16IICT28068	12.8882
!16IICT28070	13.5284
!16IICT28075	12.9992
!16IICT28076	13.2104
!16IICT28081	13.7776
!16IICT28089	13.6736
!16IICT28095	12.7238
!16IIKW08002	12.8932
!16IIKW08005	12.7562
!16IIKW08008	14.0038
!16IIKW08013	14.3834
!16IIKW08016	15.3418
!16IIKW08027	14.4146
!16IIKW08028	15.347
!16IIKW08029	12.6846
!16IIKW08041	14.13
!16IIKW08047	13.8854
!16IIKW08048	13.6562
!16IIKW08049	13.7812
!16IIKW08050	14.4176
!16IIKW08063	14.2802
!16IIKW08064	13.762
!16IIKW08065	13.8282
!16IIKW08066	13.1702
!16IIKW08068	13.2488
!16IIKW08069	13.1868
!16IIKW08071	13.25
!16IIKW08074	13.266
!16IIKW08076	13.5508
!16IIKW08079	14.4132
!16IIKW08083	13.8998
!16IIKW08088	13.4552
!16IIKW08094	13.9976
!16IIKW08096	12.7694
!16IIKW08098	12.6492
!16IIKW08101	13.3826
!16IIKW08102	12.9472
!16IIKW08104	13.437
!16IIKW08105	13.7856
!16IIKW08106	13.488
!16IIKW08108	12.7048
!16IIKW08110	14.9232
!16IIKW08111	13.2696
!16IIKW08112	12.8492
!16IIKW08113	15.0774
!16IIKW08114	14.3972
!16IIKW08115	14.1764
!16IIKW08120	12.8096
!16IIKW08121	12.7316
!16IIKW08122	13.1768
!16IIKW08123	14.2614
!16IIKW08128	13.881
!16IIKW08131	14.122
!16IIKW08133	14.4444
!16IIKW08145	13.4572
!16IIKW08148	14.99
!16IIKW08149	14.617
!16IIKW08154	13.3268
!16IIKW08155	13.64
!16IIKW08160	12.9588
!16IIKW08161	13.9822
!16IIKW08167	13.6182
!16IIKW08168	13.346
!16IIKW08181	12.628
!16IIKW08183	12.935
!16IIKW08184	14.9942
!16IIKW08186	14.2328
!16IIKW08191	13.2538
!16IIKW08193	13.6622
!16IIKW08200	13.8836
!16IIKW08201	14.6262
!16IIKW08202	14.2752
!16IIKW08209	14.1726
!16IIKW08210	12.9832
!16IIKW08225	13.1064
!16IIKW08236	14.3452
!16IIKW08238	13.8162
!16IIKW08239	13.165
!16IIKW08240	12.5164
!16IIKW08242	14.0342
!16IIKW08246	14.1444
!16IIKW08248	14.5932
!16IIKW08250	12.7442
!16IIKW08252	13.4758
!16IIKW08253	12.6508
!16IIKW08254	12.6284
!16IIKW08255	13.5896
!16IIKW08256	13.7378
!16IIKW08269	14.6698
!16IIKW08271	12.908
!16IIKW08273	14.1432
!16IIKW08279	13.3772
!16IIKW08281	13.7096
!16IIKW08282	15.0046
!16IIKW08284	15.0836
!16IIKW08295	14.171
!16IIKW08297	14.1214
!16IIKW08298	14.2648
!16IIKW19009	11.6712
!16IIKW19013	11.9464
!16IIKW25001	13.4768
!16IIKW25003	14.3396
!16IIKW25006	14.1768
!16IIKW25007	10.49
!16IIKW25009	13.7714
!16IIKW25013	14.037
!16IIKW25014	14.9876
!16IIKW25019	14.0564
!16IIKW25025	13.851
!16IIKW25027	12.6146
!16IIKW25028	14.8342
!16IIKW25030	15.0192
!16IIKW25037	13.1832
!16IIKW25038	13.9036
!16IIKW25040	14.4756
!16IIKW25041	13.453
!16IIKW25045	13.876
!16IIKW25059	13.581
!16IIKW25080	13.623
!16IIKW25083	12.983
!16IIKW25090	14.279
!16IIKW25092	13.4622
!16IITC10002	13.7556
!16IITC10004	14.2196
!16IITC10009	14.4838
!16IITC10010	15.3056
!16IITC10011	14.3802
!16IITC10013	14.2034
!16IITC10014	14.7234
!16IITC10019	12.7292
!16IITC10021	15.2286
!16IITC10022	13.4268
!16IITC10023	12.963
!16IITC10028	13.6742
!16IITC10030	12.8366
!16IITC10033	14.6024
!16IITC10035	13.4252
!16IITC10036	14.4012
!16IITC10037	13.4436
!16IITC10038	13.0512
!16IITC10039	13.75
!16IITC10040	13.221
!16IITC10043	13.5492
!16IITC10044	13.2356
!16IITC10048	14.1882
!16IITC10049	14.2754
!16IITC10051	13.6762
!16IITC10053	12.811
!16IITC10055	14.6544
!16IITC10056	14.855
!16IITC10057	12.6934
!16IITC10058	13.6212
!16IITC10062	13.081
!16IITC10065	12.758
!16IITC10066	14.5524
!16IITC10067	13.8416
!16IITC10068	14.0772
!16IITC10071	12.7572
!16IITC10072	13.3758
!16IITC10073	13.4436
!16IITC10074	12.5052
!16IITC10075	13.567
!16IITC10076	13.6126
!16IITC10077	13.7974
!16IITC10081	13.3316
!16IITC10086	14.2954
!16IITC10088	14.3168
!16IITC10089	13.5736
!16IITC10090	13.2702
!16IITC10091	13.7726
!16IITC10092	13.1914
!16IITC10094	13.574
!16IITC10095	13.6608
!16IITC10096	13.3334
!16IITC10098	15.6322
!16IITC10099	12.2738
!16IITC10100	14.499
!16IITC10101	12.9892
!16IITC10102	13.1988
!16IITC13003	13.603
!16IITC13005	13.0512
!16IITC13006	13.804
!16IITC13011	14.0772
!16IITC13012	13.6412
!16IITC13013	13.8714
!16IITC13015	13.3122
!16IITC13024	13.717
!16IITC13025	13.9244
!16IITC13028	13.3226
