Sample	Yield_Average
!16IICT05001/BS315PW	12.6916
!16IICT05005/BS315PW	13.7498
!16IICT14001/BS315PW	14.5116
!16IICT14023/BS315PW	13.468
!16IICT14033/BS315PW	10.9548
!16IICT14037/BS315PW	13.0868
!16IICT14045/BS315PW	14.694
!16IICT17003/BS315PW	14.898
!16IICT17006/BS315PW	14.1656
!16IICT17010/BS315PW	14.7406
!16IICT17014/BS315PW	15.077
!16IICT17015/BS315PW	9.8354
!16IICT17015/SWJ77PW	10.5646
!16IICT17016/SWJ77PW	15.1994
!16IICT17022/BS315PW	14.1824
!16IICT17024/SWJ77PW	8.617
!16IICT17030/SWJ77PW	14.3874
!16IICT17031/SWJ77PW	15.294
!16IICT17040/SWJ77PW	14.1818
!16IICT17041/CTJ25APW	10.975
!16IICT18015/SWJ77PW	13.7184
!16IICT18016/SWJ77PW	13.2122
!16IICT18019/SWJ77PW	14.0378
!16IICT18036/BS315PW	14.0434
!16IICT18038/SWJ77PW	13.586
!16IICT18047/SWJ77PW	12.913
!16IICT18057/BS315PW	12.8874
!16IICT18057/SWJ77PW	13.4542
!16IICT18068/BS315PW	13.985
!16IICT18087/BS315PW	14.3804
!16IICT18087/SWJ77PW	14.0076
!16IICT28002/BS315PW	12.631
!16IICT28003/BS315PW	13.378
!16IICT28005/BS315PW	13.4974
!16IICT28006/BS315PW	12.7248
!16IICT28008/BS315PW	13.005
!16IICT28010/BS315PW	13.7284
!16IICT28011/BS315PW	12.673
!16IICT28013/BS315PW	13.5312
!16IICT28015/BS315PW	13.3148
!16IICT28020/BS315PW	13.689
!16IICT28022/BS315PW	12.3116
!16IICT28023/BS315PW	13.6344
!16IICT28024/BS315PW	13.026
!16IICT28026/BS315PW	12.7388
!16IICT28028/BS315PW	12.0936
!16IICT28034/BS315PW	13.2464
!16IICT28035/BS315PW	12.8254
!16IICT28042/BS315PW	14.3992
!16IICT28044/BS315PW	12.519
!16IICT28049/BS315PW	13.0998
!16IICT28050/BS315PW	13.4752
!16IICT28051/BS315PW	13.2428
!16IICT28055/BS315PW	11.5808
!16IICT28057/BS315PW	13.6258
!16IICT28058/BS315PW	13.1286
!16IICT28061/BS315PW	13.671
!16IICT28064/BS315PW	13.5474
!16IICT28066/BS315PW	11.38
!16IICT28068/BS315PW	12.8882
!16IICT28070/BS315PW	13.5284
!16IICT28075/BS315PW	12.9992
!16IICT28076/BS315PW	13.2104
!16IICT28081/BS315PW	13.7776
!16IICT28089/BS315PW	13.6736
!16IICT28095/BS315PW	12.7238
!16IIKW08002/CTJ25APW	12.8932
!16IIKW08005/CTJ25APW	12.7562
!16IIKW08008/CTJ25APW	14.0038
!16IIKW08013/CTJ25APW	14.3834
!16IIKW08016/CTJ25APW	15.3418
!16IIKW08027/CTJ25APW	14.4146
!16IIKW08028/CTJ25APW	15.347
!16IIKW08029/CTJ25APW	12.6846
!16IIKW08041/CTJ25APW	14.13
!16IIKW08047/CTJ25APW	13.8854
!16IIKW08048/CTJ25APW	13.6562
!16IIKW08049/CTJ25APW	13.7812
!16IIKW08050/CTJ25APW	14.4176
!16IIKW08063/CTJ25APW	14.2802
!16IIKW08064/CTJ25APW	13.762
!16IIKW08065/CTJ25APW	13.8282
!16IIKW08066/CTJ25APW	13.1702
!16IIKW08068/CTJ25APW	13.2488
!16IIKW08069/CTJ25APW	13.1868
!16IIKW08071/CTJ25APW	13.25
!16IIKW08074/CTJ25APW	13.266
!16IIKW08076/CTJ25APW	13.5508
!16IIKW08079/CTJ25APW	14.4132
!16IIKW08083/CTJ25APW	13.8998
!16IIKW08088/CTJ25APW	13.4552
!16IIKW08094/CTJ25APW	13.9976
!16IIKW08096/CTJ25APW	12.7694
!16IIKW08098/CTJ25APW	12.6492
!16IIKW08101/CTJ25APW	13.3826
!16IIKW08102/CTJ25APW	12.9472
!16IIKW08104/CTJ25APW	13.437
!16IIKW08105/CTJ25APW	13.7856
!16IIKW08106/CTJ25APW	13.488
!16IIKW08108/CTJ25APW	12.7048
!16IIKW08110/CTJ25APW	14.9232
!16IIKW08111/CTJ25APW	13.2696
!16IIKW08112/CTJ25APW	12.8492
!16IIKW08113/CTJ25APW	15.0774
!16IIKW08114/CTJ25APW	14.3972
!16IIKW08115/CTJ25APW	14.1764
!16IIKW08120/CTJ25APW	12.8096
!16IIKW08121/CTJ25APW	12.7316
!16IIKW08122/CTJ25APW	13.1768
!16IIKW08123/CTJ25APW	14.2614
!16IIKW08128/CTJ25APW	13.881
!16IIKW08131/CTJ25APW	14.122
!16IIKW08133/CTJ25APW	14.4444
!16IIKW08145/CTJ25APW	13.4572
!16IIKW08148/CTJ25APW	14.99
!16IIKW08149/CTJ25APW	14.617
!16IIKW08154/CTJ25APW	13.3268
!16IIKW08155/CTJ25APW	13.64
!16IIKW08160/CTJ25APW	12.9588
!16IIKW08161/CTJ25APW	13.9822
!16IIKW08167/CTJ25APW	13.6182
!16IIKW08168/CTJ25APW	13.346
!16IIKW08181/CTJ25APW	12.628
!16IIKW08183/CTJ25APW	12.935
!16IIKW08184/CTJ25APW	14.9942
!16IIKW08186/CTJ25APW	14.2328
!16IIKW08191/CTJ25APW	13.2538
!16IIKW08193/CTJ25APW	13.6622
!16IIKW08200/CTJ25APW	13.8836
!16IIKW08201/CTJ25APW	14.6262
!16IIKW08202/CTJ25APW	14.2752
!16IIKW08209/CTJ25APW	14.1726
!16IIKW08210/CTJ25APW	12.9832
!16IIKW08225/CTJ25APW	13.1064
!16IIKW08236/CTJ25APW	14.3452
!16IIKW08238/CTJ25APW	13.8162
!16IIKW08239/CTJ25APW	13.165
!16IIKW08240/CTJ25APW	12.5164
!16IIKW08242/CTJ25APW	14.0342
!16IIKW08246/CTJ25APW	14.1444
!16IIKW08248/CTJ25APW	14.5932
!16IIKW08250/CTJ25APW	12.7442
!16IIKW08252/CTJ25APW	13.4758
!16IIKW08253/CTJ25APW	12.6508
!16IIKW08254/CTJ25APW	12.6284
!16IIKW08255/CTJ25APW	13.5896
!16IIKW08256/CTJ25APW	13.7378
!16IIKW08269/CTJ25APW	14.6698
!16IIKW08271/CTJ25APW	12.908
!16IIKW08273/CTJ25APW	14.1432
!16IIKW08279/CTJ25APW	13.3772
!16IIKW08281/CTJ25APW	13.7096
!16IIKW08282/CTJ25APW	15.0046
!16IIKW08284/CTJ25APW	15.0836
!16IIKW08295/CTJ25APW	14.171
!16IIKW08297/CTJ25APW	14.1214
!16IIKW08298/CTJ25APW	14.2648
!16IIKW19009/CTJ25APW	11.6712
!16IIKW19013/CTJ25APW	11.9464
!16IIKW25001/CTJ25APW	13.4768
!16IIKW25003/CTJ25APW	14.3396
!16IIKW25006/CTJ25APW	14.1768
!16IIKW25007/CTJ25APW	10.49
!16IIKW25009/CTJ25APW	13.7714
!16IIKW25013/CTJ25APW	14.037
!16IIKW25014/CTJ25APW	14.9876
!16IIKW25019/CTJ25APW	14.0564
!16IIKW25025/CTJ25APW	13.851
!16IIKW25027/CTJ25APW	12.6146
!16IIKW25028/CTJ25APW	14.8342
!16IIKW25030/CTJ25APW	15.0192
!16IIKW25037/CTJ25APW	13.1832
!16IIKW25038/CTJ25APW	13.9036
!16IIKW25040/CTJ25APW	14.4756
!16IIKW25041/CTJ25APW	13.453
!16IIKW25045/CTJ25APW	13.876
!16IIKW25059/CTJ25APW	13.581
!16IIKW25080/CTJ25APW	13.623
!16IIKW25083/CTJ25APW	12.983
!16IIKW25090/CTJ25APW	14.279
!16IIKW25092/CTJ25APW	13.4622
!16IITC10002/BS315PW	13.7556
!16IITC10002/CTJ25APW	14.4764
!16IITC10004/BS315PW	14.2196
!16IITC10004/CTJ25APW	15.5424
!16IITC10009/CTJ25APW	14.4838
!16IITC10010/CTJ25APW	15.3056
!16IITC10011/CTJ25APW	14.3802
!16IITC10013/BS315PW	14.2034
!16IITC10014/CTJ25APW	14.7234
!16IITC10019/BS315PW	12.7292
!16IITC10021/CTJ25APW	15.2286
!16IITC10022/BS315PW	13.4268
!16IITC10023/BS315PW	12.963
!16IITC10028/BS315PW	13.6742
!16IITC10030/BS315PW	12.8366
!16IITC10033/CTJ25APW	14.6024
!16IITC10035/BS315PW	13.4252
!16IITC10035/CTJ25APW	14.2218
!16IITC10036/BS315PW	14.4012
!16IITC10036/CTJ25APW	14.907
!16IITC10037/BS315PW	13.4436
!16IITC10038/BS315PW	13.0512
!16IITC10038/CTJ25APW	14.1276
!16IITC10039/BS315PW	13.75
!16IITC10039/CTJ25APW	14.4728
!16IITC10040/BS315PW	13.221
!16IITC10040/CTJ25APW	14.9972
!16IITC10043/BS315PW	13.5492
!16IITC10043/CTJ25APW	14.015
!16IITC10044/BS315PW	13.2356
!16IITC10048/BS315PW	14.1882
!16IITC10049/CTJ25APW	14.2754
!16IITC10051/BS315PW	13.6762
!16IITC10053/BS315PW	12.811
!16IITC10055/CTJ25APW	14.6544
!16IITC10056/CTJ25APW	14.855
!16IITC10057/BS315PW	12.6934
!16IITC10057/CTJ25APW	13.9316
!16IITC10058/CTJ25APW	13.6212
!16IITC10062/BS315PW	13.081
!16IITC10065/BS315PW	12.758
!16IITC10066/CTJ25APW	14.5524
!16IITC10067/BS315PW	13.8416
!16IITC10068/BS315PW	14.0772
!16IITC10071/BS315PW	12.7572
!16IITC10072/BS315PW	13.3758
!16IITC10072/CTJ25APW	14.7102
!16IITC10073/BS315PW	13.4436
!16IITC10073/CTJ25APW	15.0444
!16IITC10074/BS315PW	12.5052
!16IITC10075/BS315PW	13.567
!16IITC10075/CTJ25APW	14.9568
!16IITC10076/BS315PW	13.6126
!16IITC10077/BS315PW	13.7974
!16IITC10081/BS315PW	13.3316
!16IITC10086/BS315PW	14.2954
!16IITC10086/CTJ25APW	12.9788
!16IITC10088/CTJ25APW	14.3168
!16IITC10089/BS315PW	13.5736
!16IITC10089/CTJ25APW	14.0556
!16IITC10090/BS315PW	13.2702
!16IITC10091/BS315PW	13.7726
!16IITC10091/CTJ25APW	14.8764
!16IITC10092/BS315PW	13.1914
!16IITC10094/BS315PW	13.574
!16IITC10095/BS315PW	13.6608
!16IITC10096/BS315PW	13.3334
!16IITC10096/CTJ25APW	15.0886
!16IITC10098/CTJ25APW	15.6322
!16IITC10099/BS315PW	12.2738
!16IITC10100/BS315PW	14.499
!16IITC10100/CTJ25APW	13.3782
!16IITC10101/BS315PW	12.9892
!16IITC10102/CTJ25APW	13.1988
!16IITC13003/BS315PW	13.603
!16IITC13005/BS315PW	13.0512
!16IITC13006/BS315PW	13.804
!16IITC13011/BS315PW	14.0772
!16IITC13012/BS315PW	13.6412
!16IITC13013/BS315PW	13.8714
!16IITC13015/BS315PW	13.3122
!16IITC13024/BS315PW	13.717
!16IITC13025/CTJ25APW	13.9244
!16IITC13028/BS315PW	13.3226
!16IITC13029/BS315PW	14.9756
!16IITC13032/BS315PW	13.9996
!16IITC13034/BS315PW	13.9332
!16IITC13039/BS315PW	14.9206
!16IITC13043/BS315PW	13.328
!16IITC13046/BS315PW	13.4378
!16IITC13046/CTJ25APW	12.9266
!16IITC13047/BS315PW	13.6098
!16IITC13050/BS315PW	14.1658
!16IITC13050/CTJ25APW	14.1996
!16IITC13059/BS315PW	14.449
!16IITC13060/BS315PW	14.2962
!16IITC13061/BS315PW	14.5978
!16IITC13062/BS315PW	13.1974
!16IITC13067/BS315PW	14.1278
!16IITC13069/CTJ25APW	13.9664
!16IITC13073/BS315PW	14.0848
!16IITC13079/BS315PW	13.708
!16IITC13080/BS315PW	13.5418
!16IITC13084/BS315PW	14.1584
!16IITC13087/BS315PW	13.1648
!16IITC13087/CTJ25APW	13.996
!16IITC13088/BS315PW	13.1888
!16IITC13090/BS315PW	14.0148
!16IITC13090/CTJ25APW	13.323
!16IITC13094/BS315PW	14.4802
!16IITC13094/CTJ25APW	13.384
!16IITC13095/BS315PW	14.2606
!16IITC13096/BS315PW	13.8934
!16IITC13098/BS315PW	13.0402
!16IITC13101/CTJ25APW	13.5066
!16IITC13102/CTJ25APW	14.6036
!16IITC13103/BS315PW	12.439
!16IITC13105/BS315PW	14.0888
!16IITC13106/BS315PW	13.3892
!16IITC13106/CTJ25APW	13.6758
!16IITC13108/CTJ25APW	12.8866
!16IITC13110/CTJ25APW	14.4036
!16IITC13111/BS315PW	13.7932
!16IITC13113/BS315PW	14.0088
!16IITC13117/BS315PW	14.0354
!16IITC13120/BS315PW	14.6508
!16IITC13120/CTJ25APW	14.9342
!16IITC13122/BS315PW	13.2134
!16IITC13125/BS315PW	13.7448
!16IITC13130/BS315PW	13.9578
!16IITC13134/BS315PW	13.7758
!16IITC13134/CTJ25APW	14.0484
!16IITC13135/BS315PW	13.2336
!16IITC13136/BS315PW	14.1258
!16IITC13139/BS315PW	14.5442
!16IITC13140/BS315PW	13.484
!16IITC13140/CTJ25APW	14.3418
!16IITC13141/BS315PW	13.9842
!16IITC13141/CTJ25APW	12.6032
!16IITC13145/BS315PW	15.3012
!16IITC13145/CTJ25APW	13.2364
!16IITC13146/BS315PW	13.5364
!16IITC13146/CTJ25APW	14.3812
!16IITC13147/BS315PW	13.8714
!16IITC13147/CTJ25APW	14.7908
!16IITC13150/BS315PW	13.503
!16IITC13150/CTJ25APW	13.31
!16IITC13153/BS315PW	13.9844
!16IITC13153/CTJ25APW	13.413
!16IITC13154/CTJ25APW	13.1866
!16IITC13155/CTJ25APW	13.582
!16IITC13156/CTJ25APW	12.8648
!16IITC13160/BS315PW	13.4846
!16IITC13165/CTJ25APW	12.7826
!16IITC13166/BS315PW	14.1296
!16IITC13171/BS315PW	13.5348
!16IITC13172/BS315PW	13.6672
!16IITC13172/CTJ25APW	12.5066
!16IITC13175/CTJ25APW	14.951
!16IITC13176/BS315PW	13.9852
!16IITC13176/CTJ25APW	13.62
!16IITC13178/BS315PW	13.722
!16IITC13178/CTJ25APW	13.1882
!16IITC13179/CTJ25APW	12.8558
!16IITC13182/BS315PW	14.15
!16IITC13183/CTJ25APW	13.504
!16IITC13189/BS315PW	14.3104
!16IITC15001/CTJ25APW	13.1022
!16IITC15002/CTJ25APW	14.0928
!16IITC15003/CTJ25APW	13.1346
!16IITC15004/BS315PW	14.0942
!16IITC15004/CTJ25APW	12.5666
!16IITC15004/MN7224PW	14.9272
!16IITC15005/CTJ25APW	13.9206
!16IITC15006/BS315PW	14.483
!16IITC15006/CTJ25APW	13.081
!16IITC15008/CTJ25APW	13.2734
!16IITC15009/BS315PW	14.131
!16IITC15009/CTJ25APW	13.272
!16IITC15010/BS315PW	13.3606
!16IITC15010/CTJ25APW	13.8394
!16IITC15010/MN7224PW	14.691
!16IITC15013/CTJ25APW	14.1164
!16IITC15014/CTJ25APW	14.8286
!16IITC15017/BS315PW	14.6004
!16IITC15017/CTJ25APW	14.5848
!16IITC15017/MN7224PW	15.546
!16IITC15018/CTJ25APW	14.3906
!16IITC15020/BS315PW	13.3908
!16IITC15020/CTJ25APW	13.6366
!16IITC15020/MN7224PW	13.8744
!16IITC15021/CTJ25APW	15.0524
!16IITC15021/MN7224PW	12.7368
!16IITC15022/CTJ25APW	13.4682
!16IITC15023/CTJ25APW	13.4316
!16IITC15024/BS315PW	14.7386
!16IITC15024/CTJ25APW	14.4532
!16IITC15024/MN7224PW	13.7628
!16IITC15025/BS315PW	12.3408
!16IITC15025/MN7224PW	13.7214
!16IITC15029/BS315PW	14.1494
!16IITC15029/CTJ25APW	14.5906
!16IITC15029/MN7224PW	13.6786
!16IITC15031/CTJ25APW	13.946
!16IITC15031/MN7224PW	12.084
!16IITC15040/BS315PW	13.4934
!16IITC15040/CTJ25APW	13.2454
!16IITC15040/MN7224PW	14.7302
!16IITC15043/MN7224PW	13.6098
!16IITC15046/BS315PW	13.174
!16IITC15046/CTJ25APW	13.434
!16IITC15046/MN7224PW	13.1456
!16IITC15047/CTJ25APW	13.7456
!16IITC15048/MN7224PW	14.6098
!16IITC15049/MN7224PW	14.5072
!16IITC15053/BS315PW	13.49
!16IITC15053/CTJ25APW	11.3778
!16IITC15053/MN7224PW	12.9682
!16IITC15054/CTJ25APW	15.8668
!16IITC15054/MN7224PW	15.782
!16IITC15055/MN7224PW	13.4944
!16IITC15056/MN7224PW	13.1868
!16IITC15057/CTJ25APW	14.7022
!16IITC15057/MN7224PW	12.7978
!16IITC15058/CTJ25APW	12.6328
!16IITC15058/MN7224PW	12.2932
!16IITC15060/BS315PW	13.7422
!16IITC15064/CTJ25APW	13.8058
!16IITC15064/MN7224PW	12.8128
!16IITC15065/BS315PW	13.8194
!16IITC15065/CTJ25APW	13.594
!16IITC15065/MN7224PW	14.2732
!16IITC15067/BS315PW	14.33
!16IITC15067/CTJ25APW	14.5198
!16IITC15068/BS315PW	13.4176
!16IITC15069/BS315PW	13.7808
!16IITC15070/BS315PW	13.3172
!16IITC15070/CTJ25APW	15.0136
!16IITC15070/MN7224PW	12.9986
!16IITC15071/BS315PW	13.0694
!16IITC15071/MN7224PW	14.4818
!16IITC15072/BS315PW	13.6778
!16IITC15073/CTJ25APW	13.4066
!16IITC15073/MN7224PW	14.045
!16IITC15074/CTJ25APW	13.673
!16IITC15077/CTJ25APW	14.2246
!16IITC15078/CTJ25APW	14.7086
!16IITC15079/BS315PW	13.951
!16IITC15080/CTJ25APW	14.1216
!16IITC15080/MN7224PW	14.423
!16IITC15083/BS315PW	13.8578
!16IITC15084/MN7224PW	12.9658
!16IITC15088/CTJ25APW	15.2386
!16IITC15088/MN7224PW	15.1706
!16IITC15089/CTJ25APW	14.3766
!16IITC15089/MN7224PW	13.5234
!16IITC15090/BS315PW	13.829
!16IITC15090/MN7224PW	13.5472
!16IITC15091/BS315PW	14.2134
!16IITC15091/MN7224PW	14.3558
!16IITC15092/BS315PW	13.3622
!16IITC15092/CTJ25APW	13.8816
!16IITC15092/MN7224PW	12.0186
!16IITC15093/CTJ25APW	13.689
!16IITC15093/MN7224PW	12.5254
!16IITC15095/BS315PW	13.5792
!16IITC15097/BS315PW	14.7184
!16IITC15097/CTJ25APW	14.5962
!16IITC15098/MN7224PW	13.5032
!16IITC15099/CTJ25APW	14.6466
!16IITC15099/MN7224PW	12.6478
!16IITC15100/BS315PW	12.8098
!16IITC15100/CTJ25APW	13.0476
!16IITC15100/MN7224PW	12.467
!16IITC15101/CTJ25APW	13.3178
